Site_Name,Telco,Status,Longitude,Latitude
QCY069-OLT-01,Converge,Online,121.105553,14.70642
QCY113-OLT-01,Converge,Online,121.079763,14.609292
QCY081-OLT-01,Converge,Online,121.080585,14.607461
QCY085-OLT-01,Converge,Online,121.079924,14.608382
QCY031-OLT-01,Converge,Online,121.079396,14.611387
QCY096-OLT-01,Converge,Online,121.099352,14.682744
QCY176-OLT-01,Converge,Online,121.0780492,14.66610169
QCY011-OLT-07,Converge,Online,121.073785,14.666896
QCY011-OLT-05,Converge,Online,121.073785,14.666896
QCY011-OLT-04,Converge,Online,121.073785,14.666896
QCY011-OLT-03,Converge,Online,121.073785,14.666896
QCY011-OLT-02,Converge,Online,121.073785,14.666896
QCY011-OLT-06,Converge,Online,121.073785,14.666896
QCY166-OLT-01,Converge,Online,121.073376,14.634161
QCY091-OLT-01,Converge,Online,121.073822,14.638037
QCY184-OLT-01,Converge,Online,121.0587647,14.73560854
QCY095-OLT-05,Converge,Online,121.095181,14.704459
QCY095-OLT-04,Converge,Online,121.095181,14.704459
QCY095-OLT-01,Converge,Online,121.095181,14.704459
QCY095-OLT-02,Converge,Online,121.095181,14.704459
QCY095-OLT-03,Converge,Online,121.095181,14.704459
PSG090-OLT-02,Converge,Offline,121.067825,14.563085
PSG001-OLT-08,Converge,Offline,121.074107,14.577723
PSG001-OLT-06,Converge,Online,121.074107,14.577723
PSG001-OLT-04,Converge,Online,121.074107,14.577723
PSG047-OLT-01,Converge,Online,121.080715,14.586588
PSG001-OLT-05,Converge,Online,121.074107,14.577723
PSG001-OLT-03,Converge,Online,121.074107,14.577723
TAG005-OLT-01,Converge,Online,121.06083,14.488861
TAG071-OLT-02,Converge,Online,121.060703,14.486609
TAG005-OLT-01,Converge,Online,121.06083,14.488861
TAG071-OLT-01,Converge,Online,121.060703,14.486609
TAG071-OLT-02,Converge,Online,121.060703,14.486609
TAG074-OLT-02,Converge,Online,121.052713,14.497345
TAG074-OLT-01,Converge,Online,121.052713,14.497345
TAG050-OLT-06,Converge,Online,121.051961,14.516395
TAG045-OLT-01,Converge,Online,121.049018,14.533179
TAG050-OLT-05,Converge,Online,121.051961,14.516395
TAG050-OLT-03,Converge,Online,121.051961,14.516395
TAG050-OLT-04,Converge,Online,121.051961,14.516395
TAG050-OLT-01,Converge,Online,121.051961,14.516395
TAG001-OLT-02,Converge,Online,121.050114,14.533463
TAG001-OLT-05,Converge,Online,121.050114,14.533463
TAG001-OLT-04,Converge,Online,121.050114,14.533463
TAG001-OLT-03,Converge,Online,121.050114,14.533463
TAG050-OLT-06,Converge,Online,121.051961,14.516395
TAG045-OLT-01,Converge,Online,121.049018,14.533179
TAG050-OLT-04,Converge,Online,121.051961,14.516395
TAG050-OLT-01,Converge,Online,121.051961,14.516395
TAG001-OLT-02,Converge,Online,121.050114,14.533463
TAG001-OLT-05,Converge,Online,121.050114,14.533463
TAG001-OLT-03,Converge,Online,121.050114,14.533463
TAG087-OLT-01,Converge,Online,121.065836,14.523244
TAG078-OLT-01,Converge,Online,121.0704153,14.53621977
TAG124-OLT-01,Converge,Online,121.0550431,14.5415055
TAG110-OLT-01,Converge,Online,121.066407,14.532167
TAG040-OLT-01,Converge,Online,121.065304,14.525451
TAG031-OLT-01,Converge,Online,121.063122,14.528599
MUN017-OLT-01,Converge,Online,121.038412,14.423241
MUN002-OLT-01,Converge,Online,121.043883,14.417144
MUN069-OLT-01,Converge,Online,121.033263,14.419996
MUN008-OLT-01,Converge,Online,121.034279,14.424985
MUN066-OLT-01,Converge,Online,121.046454,14.431648
MUN001-OLT-03,Converge,Online,121.050152,14.437047
MUN001-OLT-02,Converge,Online,121.050152,14.437047
MUN004-OLT-06,Converge,Online,121.045742,14.396687
MUN004-OLT-05,Converge,Online,121.045742,14.396687
MUN004-OLT-04,Converge,Online,121.045742,14.396687
MUN004-OLT-03,Converge,Online,121.045742,14.396687
MUN004-OLT-02,Converge,Online,121.045742,14.396687
MUN004-OLT-01,Converge,Online,121.045742,14.396687
MUN073-OLT-01,Converge,Online,121.0465784,14.44845484
CBL002-OLT-01,Converge,Online,121.01945,14.17047
SPL002-OLT-03,Converge,Online,121.040271,14.344432
SPL002-OLT-02,Converge,Online,121.040271,14.344432
SPL002-OLT-01,Converge,Online,121.040271,14.344432
SPL002-OLT-05,Converge,Online,121.040271,14.344432
SPL002-OLT-04,Converge,Online,121.040271,14.344432
SLC001-OLT-01,Converge,Online,121.052979,14.251704
