Site_Name,Telco,Status,Longitude,Latitude
DITO-SITE-001,DITO,Offline,121.10252,14.70016
DITO-SITE-002,DITO,Offline,121.08315,14.6059
DITO-SITE-003,DITO,Online,121.08584,14.68214
DITO-SITE-004,DITO,Online,121.07405,14.61628
DITO-SITE-005,DITO,Online,121.0697,14.66369
DITO-SITE-006,DITO,Online,121.0828,14.6556
DITO-SITE-007,DITO,Online,121.07662,14.60913
DITO-SITE-008,DITO,Online,121.08009,14.59433
DITO-SITE-009,DITO,Online,121.06785,14.63621
DITO-SITE-010,DITO,Online,121.05943,14.73468
DITO-SITE-011,DITO,Online,121.09437,14.70739
DITO-SITE-012,DITO,Online,121.08277,14.57377
DITO-SITE-013,DITO,Online,121.08277,14.63874
DITO-SITE-014,DITO,Online,121.03369,14.48993
DITO-SITE-015,DITO,Online,121.09793,14.65106
DITO-SITE-016,DITO,Online,121.094,14.65663
DITO-SITE-017,DITO,Online,121.07701,14.58369
DITO-SITE-018,DITO,Online,121.06003,14.55411
DITO-SITE-019,DITO,Online,121.05586,14.54343
DITO-SITE-020,DITO,Online,121.06014,14.53794
DITO-SITE-021,DITO,Online,121.06645,14.54719
DITO-SITE-022,DITO,Online,121.05057,14.47312
DITO-SITE-023,DITO,Online,121.0494,14.49604
DITO-SITE-024,DITO,Online,121.05224,14.49689
DITO-SITE-025,DITO,Online,121.059,14.49059
DITO-SITE-026,DITO,Online,121.05184,14.52595
DITO-SITE-027,DITO,Online,121.05687,14.51606
DITO-SITE-028,DITO,Online,121.05376,14.51179
DITO-SITE-029,DITO,Online,121.05311,14.50605
DITO-SITE-030,DITO,Online,121.05875,14.52591
DITO-SITE-031,DITO,Online,121.0462,14.42608
DITO-SITE-032,DITO,Online,121.03754,14.40795
DITO-SITE-033,DITO,Online,121.02287,14.4296
DITO-SITE-034,DITO,Online,121.01418,14.38922
DITO-SITE-035,DITO,Online,121.0273,14.39617
DITO-SITE-036,DITO,Online,121.05119,14.45145
DITO-SITE-037,DITO,Online,121.01107,14.36445
DITO-SITE-038,DITO,Online,121.09675,14.20628
DITO-SITE-039,DITO,Online,121.04052,14.35069
DITO-SITE-040,DITO,Online,121.04265,14.34292
DITO-SITE-041,DITO,Online,121.02047,14.3399
DITO-SITE-042,DITO,Online,121.05333,14.36904
DITO-SITE-043,DITO,Online,121.04975,14.34161
DITO-SITE-044,DITO,Online,121.03674,14.3426
DITO-SITE-045,DITO,Online,121.08129,14.3412
DITO-SITE-046,DITO,Online,121.05648,14.33437
DITO-SITE-047,DITO,Online,121.04952,14.22869
DITO-SITE-048,DITO,Online,121.00958,14.2845
DITO-SITE-049,DITO,Online,121.04926,14.30537
DITO-SITE-050,DITO,Online,121.04567,14.24572
