Site_Name,Telco,Status,Longitude,Latitude
Globe-SITE-001,Globe,Online,121.05272,14.273361
Globe-SITE-002,Globe,Online,121.05574,14.2876
Globe-SITE-003,Globe,Online,121.04807,14.34695
Globe-SITE-004,Globe,Online,121.02925,14.18125
Globe-SITE-005,Globe,Online,121.12473,14.22533
Globe-SITE-006,Globe,Online,121.03864,14.35744
Globe-SITE-007,Globe,Online,121.0399,14.34336
Globe-SITE-008,Globe,Online,121.02925,14.33506
Globe-SITE-009,Globe,Online,121.02925,14.33506
Globe-SITE-010,Globe,Online,121.038524,14.35742
Globe-SITE-011,Globe,Online,121.048072,14.347017
Globe-SITE-012,Globe,Online,121.02936,14.33491
Globe-SITE-013,Globe,Online,121.059583,14.26425
Globe-SITE-014,Globe,Online,121.07828,14.789433
Globe-SITE-015,Globe,Online,121.130306,14.823944
Globe-SITE-016,Globe,Online,121.06779,14.824225
Globe-SITE-017,Globe,Online,121.155166,14.902441
Globe-SITE-018,Globe,Online,121.065863,14.973636
Globe-SITE-019,Globe,Online,121.065863,14.973636
Globe-SITE-020,Globe,Online,121.065863,14.973636
Globe-SITE-021,Globe,Online,121.03036,14.33506
Globe-SITE-022,Globe,Online,121.008361,14.282844
Globe-SITE-023,Globe,Online,121.040609,14.31936
Globe-SITE-024,Globe,Online,121.059136,14.306525
Globe-SITE-025,Globe,Online,121.049389,14.310653
Globe-SITE-026,Globe,Online,121.007275,14.268158
Globe-SITE-027,Globe,Online,121.05241,14.25035
Globe-SITE-028,Globe,Online,121.0655,14.5479
Globe-SITE-029,Globe,Online,121.081509,14.63151
Globe-SITE-030,Globe,Offline,121.078851,14.6202
Globe-SITE-031,Globe,Offline,121.096331,14.645416
Globe-SITE-032,Globe,Online,121.093083,14.6488
Globe-SITE-033,Globe,Online,121.032861,14.408139
Globe-SITE-034,Globe,Online,121.046334,14.407275
Globe-SITE-035,Globe,Online,121.051722,14.451858
Globe-SITE-036,Globe,Online,121.04584,14.42668
Globe-SITE-037,Globe,Online,121.023969,14.383417
Globe-SITE-038,Globe,Online,121.026944,14.395608
Globe-SITE-039,Globe,Online,121.053491,14.46283
Globe-SITE-040,Globe,Online,121.018642,14.363802
Globe-SITE-041,Globe,Online,121.1085,14.553689
Globe-SITE-042,Globe,Online,121.073694,14.577722
Globe-SITE-043,Globe,Online,121.097669,14.692528
Globe-SITE-044,Globe,Online,121.078869,14.610189
Globe-SITE-045,Globe,Online,121.094544,14.693321
Globe-SITE-046,Globe,Online,121.074997,14.616655
Globe-SITE-047,Globe,Online,121.078777,14.607671
Globe-SITE-048,Globe,Online,121.07833,14.669276
Globe-SITE-049,Globe,Online,121.061529,14.727005
Globe-SITE-050,Globe,Online,121.07625,14.657861
Globe-SITE-051,Globe,Online,121.047331,14.673981
Globe-SITE-052,Globe,Online,121.081062,14.592041
Globe-SITE-053,Globe,Online,121.07875,14.635387
Globe-SITE-054,Globe,Online,121.064958,14.610678
Globe-SITE-055,Globe,Online,121.054898,14.542897
Globe-SITE-056,Globe,Online,121.0556,14.54156
Globe-SITE-057,Globe,Online,121.060109,14.532575
Globe-SITE-058,Globe,Online,121.055745,14.47767
Globe-SITE-059,Globe,Online,121.046442,14.484722
Globe-SITE-060,Globe,Online,121.049189,14.4935
Globe-SITE-061,Globe,Online,121.060778,14.488773
Globe-SITE-062,Globe,Online,121.052806,14.497306
Globe-SITE-063,Globe,Online,121.051778,14.525942
Globe-SITE-064,Globe,Online,121.057468,14.513218
Globe-SITE-065,Globe,Online,121.052513,14.510157
Globe-SITE-066,Globe,Online,121.05487,14.508453
Globe-SITE-067,Globe,Online,121.054442,14.540278
Globe-SITE-068,Globe,Online,121.070972,14.516419
Globe-SITE-069,Globe,Online,121.033917,14.510083
