LGU_Site_Name,Function,Location,Latitude,Longitude
Plaza De Los Alcaldes,ICP,"J. Chanyungco St., Marikina, 1800 Metro Manila",14.63308943,121.0991693
Federal Land Open Area,Staging Area,,14.63436608,121.1062335
Golden Valley,Staging Area,,14.64813763,121.097294
Ingenium School,Staging Area,,14.63748996,121.110948
Loyola Memorial Park,Staging Area,,14.63844012,121.0870533
Trevi,Staging Area,,14.65875385,121.103877
Boys Town Complex,Staging Area,,14.66703786,121.1180556
Marikina Rescue 161,Staging Area,,14.66306988,121.1216002
Bagong Sibol (Market),Staging Area,,14.66590645,121.1015156
City Health Unit - Field Hospital,,,,
